device_bit,network_bit_before_reconciliation,network_bit_after_reconciliation,match_before,match_after
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
