run_id                                         run01
env                                    indoor_static
distance_cm                                      100
freq_mhz                                       922.0
n_pairs                                          486
window                                            21
block_size                                        50
alpha                                           0.75
calibrate_offset                                True
mean_offset_device_minus_network_db         2.569959
usable_bits                                      177
discard_rate                                0.635802
mismatches                                         4
bdr                                         0.022599
entropy_bits_per_bit                        0.998871
min_entropy_bits_per_bit                    0.944044
p0                                          0.519774
p1                                          0.480226
kgr_bps_before_reconciliation               0.622693
