marker,run_id,env,seq,distance_cm,freq_mhz,sf,bw_khz,cr,tx_power_dbm,t_req_ms,t_resp_ms,rssi_network,snr_network,rssi_device,snr_device,payload_len,ok
PAIR,run01,indoor_static,2,100,922.0,7,125,4/5,14,15593,15878.0,-59.0,10.25,-54.0,9.5,36,1
PAIR,run01,indoor_static,3,100,922.0,7,125,4/5,14,16133,16418.0,-60.0,10.25,-55.0,9.5,36,1
PAIR,run01,indoor_static,4,100,922.0,7,125,4/5,14,16673,16959.0,-59.0,9.5,-55.0,9.5,36,1
PAIR,run01,indoor_static,6,100,922.0,7,125,4/5,14,17748,18033.0,-59.0,9.0,-54.0,10.0,36,1
PAIR,run01,indoor_static,7,100,922.0,7,125,4/5,14,18288,18573.0,-58.0,9.25,-54.0,10.0,36,1
PAIR,run01,indoor_static,8,100,922.0,7,125,4/5,14,18828,19113.0,-58.0,9.5,-55.0,10.5,36,1
PAIR,run01,indoor_static,9,100,922.0,7,125,4/5,14,19369,19654.0,-58.0,9.75,-55.0,9.25,36,1
PAIR,run01,indoor_static,10,100,922.0,7,125,4/5,14,19909,20200.0,-58.0,9.5,-55.0,9.5,37,1
PAIR,run01,indoor_static,11,100,922.0,7,125,4/5,14,20456,20746.0,-58.0,9.25,-55.0,9.75,37,1
PAIR,run01,indoor_static,12,100,922.0,7,125,4/5,14,21001,21291.0,-58.0,9.5,-55.0,9.5,37,1
PAIR,run01,indoor_static,13,100,922.0,7,125,4/5,14,21546,21836.0,-58.0,9.5,-56.0,9.0,37,1
PAIR,run01,indoor_static,14,100,922.0,7,125,4/5,14,22091,22382.0,-58.0,7.25,-55.0,9.75,37,1
PAIR,run01,indoor_static,15,100,922.0,7,125,4/5,14,22637,22927.0,-58.0,9.5,-55.0,9.5,37,1
PAIR,run01,indoor_static,16,100,922.0,7,125,4/5,14,23182,23472.0,-58.0,10.0,-55.0,9.75,37,1
PAIR,run01,indoor_static,17,100,922.0,7,125,4/5,14,23727,24018.0,-58.0,9.75,-54.0,9.25,37,1
PAIR,run01,indoor_static,18,100,922.0,7,125,4/5,14,24273,24563.0,-58.0,9.5,-54.0,9.75,37,1
PAIR,run01,indoor_static,19,100,922.0,7,125,4/5,14,24820,25110.0,-58.0,10.0,-54.0,9.75,37,1
PAIR,run01,indoor_static,20,100,922.0,7,125,4/5,14,25365,25655.0,-58.0,10.0,-55.0,9.5,37,1
PAIR,run01,indoor_static,21,100,922.0,7,125,4/5,14,25910,26200.0,-58.0,9.5,-55.0,9.5,37,1
PAIR,run01,indoor_static,22,100,922.0,7,125,4/5,14,26456,26746.0,-58.0,9.5,-54.0,9.5,37,1
PAIR,run01,indoor_static,23,100,922.0,7,125,4/5,14,27001,27291.0,-58.0,9.75,-54.0,9.75,37,1
PAIR,run01,indoor_static,24,100,922.0,7,125,4/5,14,27546,27836.0,-58.0,9.5,-54.0,9.75,37,1
PAIR,run01,indoor_static,25,100,922.0,7,125,4/5,14,28091,28382.0,-57.0,9.5,-55.0,10.0,37,1
PAIR,run01,indoor_static,26,100,922.0,7,125,4/5,14,28637,28927.0,-58.0,9.75,-55.0,9.0,37,1
PAIR,run01,indoor_static,27,100,922.0,7,125,4/5,14,29183,29479.0,-58.0,12.75,-54.0,9.5,37,1
PAIR,run01,indoor_static,28,100,922.0,7,125,4/5,14,29735,30025.0,-59.0,9.25,-55.0,9.75,37,1
PAIR,run01,indoor_static,29,100,922.0,7,125,4/5,14,30280,30570.0,-60.0,9.25,-55.0,9.75,37,1
PAIR,run01,indoor_static,30,100,922.0,7,125,4/5,14,30825,31115.0,-59.0,9.75,-55.0,9.75,37,1
PAIR,run01,indoor_static,31,100,922.0,7,125,4/5,14,31370,31661.0,-60.0,9.25,-55.0,9.75,37,1
PAIR,run01,indoor_static,32,100,922.0,7,125,4/5,14,31916,32206.0,-59.0,9.25,-56.0,9.5,37,1
PAIR,run01,indoor_static,34,100,922.0,7,125,4/5,14,34805,35095.0,-59.0,9.75,-57.0,9.75,37,1
PAIR,run01,indoor_static,35,100,922.0,7,125,4/5,14,35350,35640.0,-59.0,9.25,-55.0,9.5,37,1
PAIR,run01,indoor_static,36,100,922.0,7,125,4/5,14,35896,36186.0,-59.0,9.25,-55.0,9.75,37,1
PAIR,run01,indoor_static,37,100,922.0,7,125,4/5,14,36441,36731.0,-59.0,9.0,-55.0,9.5,37,1
PAIR,run01,indoor_static,38,100,922.0,7,125,4/5,14,36986,37277.0,-59.0,9.25,-56.0,9.25,37,1
PAIR,run01,indoor_static,39,100,922.0,7,125,4/5,14,37532,37824.0,-59.0,9.5,-55.0,9.5,37,1
PAIR,run01,indoor_static,40,100,922.0,7,125,4/5,14,38079,38369.0,-59.0,9.25,-56.0,9.75,37,1
PAIR,run01,indoor_static,42,100,922.0,7,125,4/5,14,40968,41258.0,-60.0,9.0,-55.0,9.75,37,1
PAIR,run01,indoor_static,43,100,922.0,7,125,4/5,14,41515,41805.0,-59.0,9.25,-55.0,9.75,37,1
PAIR,run01,indoor_static,46,100,922.0,7,125,4/5,14,44949,45242.0,-59.0,9.25,-55.0,9.75,37,1
PAIR,run01,indoor_static,47,100,922.0,7,125,4/5,14,45497,45787.0,-59.0,9.25,-54.0,9.5,37,1
PAIR,run01,indoor_static,48,100,922.0,7,125,4/5,14,46042,46333.0,-59.0,9.5,-55.0,10.0,37,1
