run_id                                                                run02
env                                                           indoor_static
distance_cm                                                             100
freq_mhz                                                              922.0
calibration_mode                                                       full
calibration_note                    offline full-dataset offset calibration
n_total_pairs                                                           993
n_calibration_pairs                                                       0
n_keygen_pairs                                                          993
window                                                                   21
block_size                                                               50
alpha                                                                  0.75
offset_device_minus_network_db                                      4.65861
usable_bits                                                             340
discard_rate                                                       0.657603
mismatches                                                               32
bdr                                                                0.094118
entropy_bits_per_bit                                               0.999775
min_entropy_bits_per_bit                                           0.974763
p0                                                                 0.508824
p1                                                                 0.491176
kgr_bps_before_reconciliation                                      0.608819
estimated_min_entropy_bits_total                                 331.419321
