run_id                                          run03
env                                    indoor_dynamic
distance_cm                                       100
freq_mhz                                        922.0
n_pairs                                           991
window                                              1
block_size                                         50
alpha                                             1.0
calibrate_offset                                 True
mean_offset_device_minus_network_db          6.663976
usable_bits                                        72
discard_rate                                 0.927346
mismatches                                         14
bdr                                          0.194444
entropy_bits_per_bit                         0.997772
min_entropy_bits_per_bit                     0.921997
p0                                           0.527778
p1                                           0.472222
kgr_bps_before_reconciliation                0.130387
