device_bit,network_bit_before_reconciliation,network_bit_after_reconciliation,match_before,match_after
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,0,0,False,False
1,0,1,False,True
0,1,0,False,True
0,1,0,False,True
0,1,1,False,False
0,1,1,False,False
1,0,1,False,True
1,0,1,False,True
1,0,1,False,True
1,0,1,False,True
1,0,1,False,True
1,0,1,False,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,1,0,False,True
0,1,1,False,False
0,1,0,False,True
1,1,1,True,True
0,1,0,False,True
0,1,1,False,False
0,1,0,False,True
0,1,0,False,True
0,1,1,False,False
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
0,1,1,False,False
0,1,0,False,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,1,1,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
1,1,1,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
0,0,0,True,True
1,0,0,False,False
1,0,1,False,True
1,0,1,False,True
1,0,1,False,True
1,0,1,False,True
1,0,1,False,True
0,1,1,False,False
0,1,0,False,True
0,1,1,False,False
