run_id                                       run04
env                                    outdoor_los
distance_cm                                    100
freq_mhz                                     922.0
n_pairs                                        987
window                                          21
block_size                                      50
alpha                                          1.0
calibrate_offset                              True
mean_offset_device_minus_network_db       1.800405
usable_bits                                    248
discard_rate                              0.748734
mismatches                                       3
bdr                                       0.012097
entropy_bits_per_bit                      0.992057
min_entropy_bits_per_bit                  0.856164
p0                                        0.552419
p1                                        0.447581
kgr_bps_before_reconciliation             0.440308
