seq,now_ms,tx_ms,dt_ms,rssi_dbm,snr_db
3,659094,1714438,535064474,-14.0,12.75
4,660222,1715566,535069050,-14.0,12.50
5,661352,1716694,535068074,-14.0,13.00
6,662481,1717824,535073512,-14.0,12.75
7,663609,1718953,535072535,-15.0,12.75
8,664738,1720081,535064463,-14.0,12.75
9,665866,1721210,535063486,-15.0,12.50
10,666995,1722338,535053166,-15.0,12.50
11,668123,1723466,535053110,-15.0,12.75
12,669251,1724595,535063821,-15.0,12.50
13,670380,1725723,535056605,-14.0,12.75
14,671508,1726851,535055637,-14.0,12.25
15,672637,1727980,535065420,-14.0,12.75
16,673765,1729108,535054796,-14.0,12.75
17,674894,1730237,535054427,-14.0,12.75
18,676022,1731365,535063035,-15.0,12.50
19,677151,1732494,535053130,-14.0,12.75
20,678279,1733622,535052162,-15.0,12.75
21,679409,1734751,535039865,-15.0,12.50
22,680536,1735879,535039241,-14.0,12.50
23,681664,1737007,535049313,-14.0,12.50
24,682794,1738136,535036360,-14.0,12.50
25,683921,1739264,535035680,-16.0,13.00
26,685050,1740393,535045815,-16.0,12.50
27,686180,1741521,535032999,-14.0,13.00
28,687306,1742650,535032294,-14.0,13.00
29,688435,1743778,535042454,-15.0,13.00
30,689565,1744906,535027718,-15.0,12.75
31,690692,1746035,535027301,-14.0,12.75
32,691820,1747163,535038541,-15.0,12.50
33,692949,1748292,535046620,-15.0,12.50
34,694077,1749420,535034444,-15.0,12.75
35,695205,1750548,535034060,-14.0,12.50
36,696334,1751677,535041907,-15.0,12.75
37,697462,1752805,535029259,-15.0,13.25
38,698590,1753933,535028291,-15.0,12.75
39,699719,1755062,535036882,-14.0,12.75
40,700848,1756191,535023937,-15.0,12.75
41,701976,1757319,535022969,-14.0,12.50
42,703104,1758447,535031177,-15.0,12.50
43,704233,1759576,535018280,-15.0,12.75
44,705361,1760704,535017312,-15.0,12.75
45,706490,1761833,535025663,-15.0,13.00
46,707618,1762961,535031671,-14.0,12.75
47,708747,1764090,535019398,-15.0,12.50
48,709875,1765218,535018430,-15.0,12.75
49,711003,1766346,535025934,-14.0,12.75
50,712132,1767475,535011925,-15.0,13.00
51,713262,1768603,535010957,-15.0,12.75
52,714390,1769733,535019531,-15.0,12.75
53,715518,1770861,535006515,-14.0,12.75
54,716647,1771990,535005546,-15.0,13.00
55,717775,1773118,535014098,-15.0,12.75
56,718904,1774247,535021561,-15.0,12.50
57,720032,1775375,535006209,-15.0,13.00
58,721161,1776504,535005240,-15.0,12.50
59,722289,1777632,535012064,-15.0,13.00
60,723419,1778761,534994487,-15.0,12.75
61,724546,1779889,534994543,-15.0,12.75
62,725675,1781017,535003735,-15.0,12.50
63,726803,1782146,535010222,-15.0,12.75
64,727931,1783274,534994214,-15.0,12.75
65,729060,1784403,534993245,-15.0,12.75
66,730188,1785531,534999973,-14.0,13.00
67,731317,1786660,535005452,-15.0,12.75
68,732445,1787788,534990092,-15.0,12.50
69,733573,1788916,534989124,-15.0,12.75
70,734702,1790045,534996163,-15.0,12.75
71,735831,1791173,535002075,-14.0,12.75
72,736959,1792302,534984346,-15.0,12.75
73,738087,1793430,534983378,-15.0,12.50
74,739216,1794559,534990889,-15.0,13.00
75,740344,1795687,534996849,-14.0,12.75
76,741473,1796815,534978361,-16.0,13.00
77,742601,1797944,534977520,-15.0,14.50
78,743730,1799072,534983424,-16.0,12.50
79,744858,1800201,534989223,-15.0,12.75
80,745986,1801329,534993895,-14.0,14.00
81,747115,1802458,534977422,-15.0,12.75
82,748243,1803586,534976454,-15.0,12.50
83,749372,1804714,534982806,-16.0,12.75
84,750500,1805843,534987813,-15.0,12.75
85,751630,1806971,534967645,-15.0,13.00
86,752757,1808100,534967020,-14.0,12.75
87,753886,1809228,534972812,-16.0,13.00
88,755014,1810357,534978987,-15.0,12.75
89,756143,1811485,534984131,-15.0,12.25
90,757273,1812613,534965355,-15.0,12.75
91,758401,1813743,534964385,-15.0,12.75
92,759529,1814872,534970016,-15.0,12.75
93,760658,1816000,534974264,-14.0,13.00
94,761786,1817129,534979551,-15.0,12.50
95,762915,1818257,534961567,-15.0,12.50
96,764043,1819386,534960598,-15.0,13.00
97,765172,1820515,534966165,-14.0,13.00
98,766301,1821643,534970613,-15.0,12.75
99,767429,1822772,534974996,-15.0,12.75
100,768558,1823900,534956060,-15.0,12.50
101,769686,1825028,534955092,-15.0,12.75
102,770815,1826157,534960795,-15.0,12.50
103,771943,1827285,534965555,-15.0,13.00
104,773072,1828414,534969834,-14.0,12.50
105,774200,1829542,534948650,-16.0,12.75
106,775328,1830671,534947729,-15.0,12.75
107,776457,1831799,534958633,-15.0,12.50
108,777585,1832927,534949737,-15.0,12.75
109,778714,1834056,534948768,-15.0,12.50
110,779842,1835184,534959000,-14.0,12.75
111,780971,1836313,534936751,-14.0,12.75
112,782099,1837441,534949143,-15.0,12.50
113,783228,1838570,534940382,-14.0,12.75
114,784356,1839698,534939414,-15.0,12.50
