idx,freq_mhz,t_ms,rssi_dbm,snr_db,epoch_s
0,920.6,1217,-17.64286,6.044643,822753334
1,920.7,2435,-17.0,5.794643,822753336
2,920.7999,3654,-17.2069,6.146552,822753337
3,920.8999,4872,-17.92857,6.116071,822753338
4,920.9999,6091,-17.57143,6.071429,822753339
5,921.0999,7309,-17.0,5.991071,822753341
6,921.1998,8530,-17.0,5.839286,822753342
7,921.2998,9748,-17.25,6.080357,822753343
8,921.3998,10964,-16.96428,5.848214,822753344
9,921.4998,12184,-17.0,5.857143,822753345
10,921.5997,13401,-17.17857,5.848214,822753347
11,921.6997,14619,-17.53572,6.080357,822753348
12,921.7997,15838,-17.03572,5.875,822753349
13,921.8997,17056,-17.32143,5.732143,822753350
14,921.9996,18276,-17.06897,5.931035,822753351
15,922.0996,19494,-16.96552,5.87931,822753353
16,922.1996,20713,-17.03572,5.964286,822753354
17,922.2996,21931,-17.96428,5.955357,822753355
18,922.3995,23150,-17.10714,6.026786,822753356
19,922.4995,24369,-17.96428,6.303571,822753358
20,922.5995,25587,-17.28572,6.107143,822753359
21,922.6995,26804,-17.10345,5.965517,822753360
22,922.7994,28023,-17.46428,6.089286,822753361
23,922.8994,29241,-17.5,6.294643,822753362
24,922.9994,30459,-17.10714,5.982143,822753364
25,923.0994,31677,-17.03572,5.892857,822753365
26,923.1993,32894,-17.14286,5.991071,822753366
27,923.2993,34113,-17.21428,6.142857,822753367
28,923.3993,35331,-17.14286,5.973214,822753369
