t_ms,rssi_dbm,snr_db,epoch_s
608,-10,9.5,822931549
1785,-10,9.5,822931550
1822,-10,9.75,822931550
1962,-15,9.25,822931550
2102,-15,9.5,822931550
2244,-15,9.5,822931550
2382,-15,9.25,822931550
2522,-15,9.5,822931551
2662,-16,9.25,822931551
2802,-16,9.5,822931551
2943,-15,9.5,822931551
3083,-15,9.25,822931551
3222,-15,9.5,822931551
3362,-15,9.75,822931551
3503,-15,9.5,822931552
3642,-15,9.75,822931552
3782,-15,9.25,822931552
3925,-15,9.25,822931552
4065,-15,9.25,822931552
4205,-15,10.0,822931552
4345,-15,9.0,822931552
4485,-15,9.25,822931553
4625,-15,9.5,822931553
4765,-15,10.75,822931553
4905,-15,9.5,822931553
5185,-25,9.0,822931553
5325,-15,11.5,822931553
5465,-15,9.0,822931553
5605,-15,9.25,822931554
5745,-15,9.5,822931554
5885,-15,9.25,822931554
6027,-16,9.25,822931554
6165,-16,9.5,822931554
6305,-15,9.25,822931554
6445,-16,9.75,822931554
6585,-16,9.75,822931555
6725,-15,9.25,822931555
6865,-16,9.0,822931555
7005,-16,8.75,822931555
7145,-16,9.5,822931555
7287,-16,9.5,822931555
7427,-16,9.0,822931555
7567,-16,10.0,822931556
7708,-26,9.0,822931556
7848,-15,9.0,822931556
7988,-16,9.5,822931556
8127,-16,9.5,822931556
8268,-16,9.0,822931556
8408,-16,9.5,822931556
8547,-16,9.5,822931557
8688,-15,9.0,822931557
8968,-15,9.0,822931557
9108,-15,9.25,822931557
9248,-15,9.0,822931557
9388,-16,9.25,822931557
9530,-16,9.5,822931558
9670,-16,9.25,822931558
9810,-16,9.0,822931558
9950,-15,9.5,822931558
10090,-16,9.5,822931558
10230,-15,9.25,822931558
10370,-15,9.0,822931558
10510,-15,9.25,822931559
10650,-15,9.25,822931559
10790,-16,9.5,822931559
10930,-26,9.0,822931559
11070,-15,9.25,822931559
11210,-15,9.0,822931559
11350,-15,9.5,822931559
11490,-16,9.5,822931560
11630,-15,9.5,822931560
11770,-16,9.75,822931560
11910,-15,9.25,822931560
12052,-16,9.75,822931560
12192,-16,9.75,822931560
12333,-16,9.25,822931560
12473,-16,9.5,822931560
12613,-16,9.5,822931561
12753,-16,9.5,822931561
12893,-16,9.25,822931561
13033,-16,9.5,822931561
13173,-16,9.0,822931561
13315,-16,9.25,822931561
13453,-16,9.5,822931561
13593,-16,9.5,822931562
13733,-16,9.25,822931562
13873,-16,9.25,822931562
14013,-16,9.5,822931562
14153,-15,9.25,822931562
14293,-15,9.5,822931562
14433,-16,9.0,822931562
14573,-15,9.25,822931563
14713,-15,9.75,822931563
14853,-16,9.5,822931563
14993,-16,9.75,822931563
15133,-15,9.5,822931563
15275,-16,10.0,822931563
15415,-16,9.5,822931563
15555,-16,9.75,822931564
15695,-15,9.5,822931564
15836,-16,9.0,822931564
15975,-15,9.25,822931564
16115,-15,9.75,822931564
16255,-16,9.0,822931564
16395,-16,9.5,822931564
16536,-15,9.25,822931565
16675,-15,9.25,822931565
16815,-16,9.25,822931565
16956,-16,9.75,822931565
17096,-16,8.75,822931565
17235,-16,9.5,822931565
17375,-15,9.25,822931565
17516,-16,9.5,822931566
17656,-15,9.5,822931566
17798,-16,9.0,822931566
17938,-15,9.5,822931566
18078,-15,9.5,822931566
18218,-15,9.5,822931566
18358,-15,9.5,822931566
18498,-16,9.5,822931567
18638,-16,9.25,822931567
18778,-15,9.5,822931567
18919,-16,9.25,822931567
19058,-16,9.25,822931567
19198,-15,9.25,822931567
19338,-15,9.75,822931567
19478,-15,9.5,822931567
19618,-15,9.5,822931568
19758,-16,10.0,822931568
19898,-15,9.75,822931568
20038,-16,9.25,822931568
20178,-15,9.25,822931568
20318,-15,9.25,822931568
20458,-16,9.25,822931568
20598,-16,9.75,822931569
20738,-15,9.5,822931569
20878,-15,9.25,822931569
21019,-15,9.75,822931569
21160,-16,9.25,822931569
21300,-16,9.75,822931569
21440,-16,9.0,822931569
21580,-15,9.5,822931570
21720,-15,10.0,822931570
21860,-15,9.75,822931570
22000,-16,9.5,822931570
22140,-15,9.5,822931570
22281,-15,9.5,822931570
22420,-16,9.25,822931570
22561,-15,9.5,822931571
22703,-16,9.5,822931571
22840,-16,9.75,822931571
22981,-16,9.5,822931571
23120,-16,10.0,822931571
23260,-15,9.75,822931571
23401,-16,9.25,822931571
23543,-15,9.25,822931572
23683,-26,9.5,822931572
23823,-15,9.5,822931572
23963,-16,9.25,822931572
24103,-15,9.75,822931572
24245,-16,9.75,822931572
24383,-16,9.5,822931572
24523,-16,9.25,822931573
24663,-15,9.75,822931573
24803,-26,9.25,822931573
24943,-26,8.75,822931573
25083,-15,9.5,822931573
25223,-15,9.5,822931573
25363,-15,9.5,822931573
25503,-16,9.5,822931574
25643,-16,9.25,822931574
25783,-15,9.25,822931574
25925,-16,9.5,822931574
26065,-16,9.25,822931574
26206,-16,9.0,822931574
26346,-15,9.75,822931574
26485,-16,9.0,822931575
26627,-16,9.0,822931575
26766,-16,9.25,822931575
26906,-15,9.5,822931575
27046,-16,9.0,822931575
27186,-16,9.25,822931575
27326,-15,9.25,822931575
27606,-19,9.0,822931576
27746,-15,9.25,822931576
27886,-15,9.25,822931576
28026,-15,9.25,822931576
28166,-26,9.0,822931576
28306,-15,8.75,822931576
28446,-16,9.0,822931576
28586,-15,9.5,822931577
28728,-15,9.25,822931577
28868,-15,9.75,822931577
29008,-15,9.0,822931577
29148,-15,9.25,822931577
29290,-15,9.5,822931577
29430,-15,9.25,822931577
29571,-15,9.5,822931578
29711,-15,9.25,822931578
29851,-16,9.5,822931578
29991,-15,9.0,822931578
30133,-16,9.0,822931578
30271,-15,9.25,822931578
30412,-15,10.0,822931578
30552,-15,9.5,822931579
30692,-16,9.25,822931579
30834,-15,9.5,822931579
30972,-15,9.5,822931579
31112,-15,9.5,822931579
31252,-15,9.25,822931579
31392,-15,9.25,822931579
31533,-16,9.25,822931580
31675,-16,9.5,822931580
31815,-15,9.25,822931580
31955,-15,9.5,822931580
32095,-15,9.25,822931580
32236,-15,9.75,822931580
32376,-15,9.5,822931580
32516,-15,11.5,822931581
32656,-15,9.25,822931581
32796,-16,9.25,822931581
32936,-15,9.75,822931581
33076,-16,9.5,822931581
33217,-15,9.5,822931581
33357,-26,8.75,822931581
33497,-16,9.5,822931582
33637,-15,9.75,822931582
33917,-19,9.5,822931582
34058,-16,9.5,822931582
34197,-15,9.5,822931582
34338,-16,9.75,822931582
34478,-15,9.75,822931582
34618,-16,9.5,822931583
