idx,freq_mhz,t_ms,rssi_dbm,snr_db,epoch_s
0,914.0,1216,-19,9.75,822406468
1,914.05,2434,-21,9.5,822406469
2,914.1,3651,-21,9.5,822406470
3,914.15,4869,-21,9.25,822406471
4,914.2,6087,-21,9.75,822406473
5,914.2499,7305,-20,9.625,822406474
6,914.2999,8523,-21,9.625,822406475
7,914.3499,9741,-21,9.875,822406476
8,914.3999,10959,-21,9.5,822406477
9,914.4499,12177,-20,10.0,822406479
10,914.4999,13395,-21,10.875,822406480
11,914.5499,14613,-21,9.875,822406481
12,914.5999,15831,-21,9.75,822406482
13,914.6498,17049,-21,10.0,822406484
14,914.6998,18267,-20,9.75,822406485
15,914.7498,19485,-20,9.75,822406486
16,914.7998,20706,-21,9.75,822406487
17,914.8498,21924,-21,9.875,822406488
18,914.8998,23142,-20,9.5,822406490
19,914.9498,24360,-21,9.625,822406491
20,914.9998,25578,-20,9.75,822406492
21,915.0497,26796,-21,9.375,822406493
22,915.0997,28015,-20,9.5,822406495
23,915.1497,29234,-20,9.75,822406496
24,915.1997,30452,-21,9.375,822406497
25,915.2496,31670,-21,10.875,822406498
26,915.2997,32890,-20,9.625,822406499
27,915.3497,34108,-21,9.75,822406501
28,915.3997,35326,-21,9.75,822406502
29,915.4496,36544,-21,9.5,822406503
30,915.4996,37763,-21,9.75,822406504
31,915.5496,38981,-21,9.5,822406505
32,915.5996,40199,-21,9.25,822406507
33,915.6496,41417,-21,9.75,822406508
34,915.6996,42635,-20,9.75,822406509
35,915.7496,43853,-21,10.5,822406510
36,915.7996,45071,-21,10.25,822406512
37,915.8495,46289,-21,9.5,822406513
38,915.8995,47507,-21,9.75,822406514
39,915.9495,48725,-21,9.75,822406515
40,915.9995,49943,-21,9.375,822406516
41,916.0495,51161,-20,10.375,822406518
42,916.0994,52382,-21,9.625,822406519
