timestamp_ms,slot,frequency_mhz,rssi_dbm,snr,payload_hex,payload_text,length
32478,3,923.400,-27,-0.25,69763d32383630333635316566646235663137353132323034643836363334336431332c6d73673d626132626261353133653161336233393639363539336139353334613932316362643239396339316538353830653261613931336535336533313537646334352c636f756e7465723d342c743d33323236322c6b696e643d64617461,iv=28603651efdb5f17512204d866343d13;msg=ba2bba513e1a3b39696593a9534a921cbd299c91e8580e2aa913e53e3157dc45;counter=4;t=32262;kind=data,132
34712,3,923.400,-27,-1.75,69763d34383465646632313734643962373335323636363465343839646666653937612c6d73673d353732336230393335626333353266383630343062386564353537623437633464333036386131636236383535636432343733366361323863616565313533372c636f756e7465723d352c743d33343439372c6b696e643d64617461,iv=484edf2174d9b73526664e489dffe97a;msg=5723b0935bc352f86040b8ed557b47c4d3068a1cb6855cd24736ca28caee1537;counter=5;t=34497;kind=data,132
36947,3,923.400,-27,3.5,69763d33353430646130393661393534393366666639313937623861653061343538382c6d73673d623933653663646438346161313036376366306165303331313735396561316666386439643132353663353164656336613164323634326462363737643231652c636f756e7465723d362c743d33363733312c6b696e643d64617461,iv=3540da096a95493fff9197b8ae0a4588;msg=b93e6cdd84aa1067cf0ae0311759ea1ff8d9d1256c51dec6a1d2642db677d21e;counter=6;t=36731;kind=data,132
39182,3,923.400,-27,2.0,69763d31336631653832313033346261613963373862343666363537356466363634322c6d73673d393765646636646363373637613636623362323064623665623238306434303739306530383630383863643638623163376233646363336366306331303763662c636f756e7465723d372c743d33383936362c6b696e643d64617461,iv=13f1e821034baa9c78b46f6575df6642;msg=97edf6dcc767a66b3b20db6eb280d40790e086088cd68b1c7b3dcc3cf0c107cf;counter=7;t=38966;kind=data,132
41416,4,923.200,-28,4.5,69763d61623536643337383034626139343638633063316431633538353765666163372c6d73673d313732623234373532333764616334396663366462333361316335346338396464383738636339336232396466343437363931666636326665353261623430642c636f756e7465723d382c743d34313230302c6b696e643d64617461,iv=ab56d37804ba9468c0c1d1c5857efac7;msg=172b2475237dac49fc6db33a1c54c89dd878cc93b29df447691ff62fe52ab40d;counter=8;t=41200;kind=data,132
43654,4,923.200,-28,4.0,69763d64633336613832353063363334306466626261633361333765363938656437332c6d73673d346630346161626132633337616334623963653266386235623262363035363565383934333236313865323830313637363762353937376235373135323534632c636f756e7465723d392c743d34333433352c6b696e643d64617461,iv=dc36a8250c6340dfbbac3a37e698ed73;msg=4f04aaba2c37ac4b9ce2f8b5b2b60565e89432618e28016767b5977b5715254c;counter=9;t=43435;kind=data,132
45891,4,923.200,-28,8.25,69763d32616266393436656136383837643931323033636433383963383666663661622c6d73673d326561376330313335623837663036333337646461343463393437626263656330643466303631333037366662343563613338393538656661353162373565642c636f756e7465723d31302c743d34353637352c6b696e643d64617461,iv=2abf946ea6887d91203cd389c86ff6ab;msg=2ea7c0135b87f06337dda44c947bbcec0d4f0613076fb45ca38958efa51b75ed;counter=10;t=45675;kind=data,133
48125,4,923.200,-27,4.75,69763d62333835653161666563393166666236616531303234336331336465353135392c6d73673d313733366335343635316431323032666331376163626431633063613131643566653662646334633737616635643566363131636432313734313431343633662c636f756e7465723d31312c743d34373930392c6b696e643d64617461,iv=b385e1afec91ffb6ae10243c13de5159;msg=1736c54651d1202fc17acbd1c0ca11d5fe6bdc4c77af5d5f611cd2174141463f;counter=11;t=47909;kind=data,133
52595,5,920.800,-28,10.0,69763d32616337633064666433303037303731346166613438633036326464646138332c6d73673d383138333962336166616563636466623464373164363366636561636364623436386134353064633535663638336264363863306564613962306338313736322c636f756e7465723d31332c743d35323337382c6b696e643d64617461,iv=2ac7c0dfd30070714afa48c062ddda83;msg=81839b3afaeccdfb4d71d63fceaccdb468a450dc55f683bd68c0eda9b0c81762;counter=13;t=52378;kind=data,133
54830,5,920.800,-27,9.5,69763d66366364623066656533363733616635643735653833333436386362393335332c6d73673d306437353139653661643237356639323935633961376131326234323638336338666433343537343165666534646135333266663033323934636531323330392c636f756e7465723d31342c743d35343631332c6b696e643d64617461,iv=f6cdb0fee3673af5d75e833468cb9353;msg=0d7519e6ad275f9295c9a7a12b42683c8fd345741efe4da532ff03294ce12309;counter=14;t=54613;kind=data,133
57064,5,920.800,-27,8.75,69763d30326137656563323462306465393038343732343730656432376139303337362c6d73673d323739343930653565376332373030373339323064653030656233353131373266303030643739376234663461383434643235333931633237613132363837622c636f756e7465723d31352c743d35363834382c6b696e643d64617461,iv=02a7eec24b0de908472470ed27a90376;msg=279490e5e7c270073920de00eb351172f000d797b4f4a844d25391c27a12687b;counter=15;t=56848;kind=data,133
59299,5,920.800,-27,9.75,69763d30636163386634663439613638636630336538636537376634323334633533392c6d73673d633266346463623232353634643730353130373462333638653334323164363731333337323762383636326663356534626466633631316130653938623665382c636f756e7465723d31362c743d35393038332c6b696e643d64617461,iv=0cac8f4f49a68cf03e8ce77f4234c539;msg=c2f4dcb22564d7051074b368e3421d67133727b8662fc5e4bdfc611a0e98b6e8;counter=16;t=59083;kind=data,133
